Time[s],Speed[m/s],X[m],Z[m],Y[m]
0,0.023097367,8.084722822,-33.97005009,-0.00039459
0.395650625,0.072538146,8.273137697,-33.71430176,-0.000452635
1.018431425,0.153306212,8.461552927,-33.79213821,-0.0006684
1.977571964,0.274048137,8.521503053,-33.6587043,-0.001293336
2.980365753,0.376222299,8.375911059,-35.05976037,-0.002275692
3.755996943,0.425150126,8.36734695,-35.25991124,-0.003198476
3.979457855,0.433202354,8.059031628,-35.67133247,-0.003480533
4.988033772,0.432348714,7.767845097,-36.24954609,-0.004747667
5.980502844,0.374478803,7.767845366,-36.51641391,-0.005885769
6.987845898,0.274766584,7.605123258,-36.63872833,-0.006797853
7.979658365,0.168838632,7.485222709,-36.6832063,-0.007402315
8.983466387,0.099293341,7.26255039,-36.90559615,-0.007768356
10.02453327,0.121438946,7.125521478,-37.27253941,-0.008078782
10.98160815,0.269563856,6.91141317,-37.17246398,-0.008579922
11.98503256,0.58508069,7.091263988,-37.08350804,-0.009707781
13.00397658,1.07789221,7.879182688,-37.55052673,-0.0118497
14.00377703,1.706598727,8.73561728,-39.04053874,-0.015109028
15.00228715,2.428990588,10.52556479,-40.79741859,-0.019312333
16.01296186,3.189987383,12.52105784,-42.97683915,-0.02376636
17.00658679,3.898527663,14.7820477,-45.79007079,-0.026980359
18.03649664,4.527689577,17.42843608,-49.270472,-0.02716324
19.0711894,5.006792337,19.21839537,-53.99625638,-0.022062917
20.08991051,5.308971157,21.18820922,-59.06674503,-0.010376672
20.98455667,5.437993877,23.14946097,-64.02603876,0.005722113
22.04315567,5.444925489,25.31626035,-69.09652742,0.031102724
23.0755918,5.327743806,28.03117852,-73.14402275,0.06070992
24.0645988,5.12978078,30.72040754,-77.46950539,0.091233086
25.03413415,4.882614698,33.09275793,-81.87282449,0.120853373
26.10214543,4.587111631,35.54219053,-86.28726308,0.1506429
27.02770996,4.350090755,38.15434584,-90.00117363,0.172438896
28.09171796,4.154790314,41.41739019,-92.36962556,0.191592134
29.05532098,4.102235545,45.87088951,-95.13837924,0.202577057
30.00193667,4.207779327,50.48710747,-96.67286922,0.206304614
31.04845476,4.533742938,55.2403434,-96.22808952,0.199467405
32.02293801,5.02858735,59.49683654,-94.82703344,0.177572032
33.01941299,5.684118517,64.43846966,-92.25843064,0.130716165
34.04313397,6.439539229,70.75039444,-88.93370233,0.043070214
35.04483509,7.169317442,78.03865428,-85.69792997,-0.097643244
36.04807568,7.807175113,85.34403046,-81.89506347,-0.306775353
37.0240891,8.281066615,92.73503874,-77.72525372,-0.579286216
38.02709055,8.589761442,99.44945068,-73.31081514,-0.917917758
39.02320552,8.721288549,106.7976134,-68.57391126,-1.284805102
40.00324941,8.707206512,114.3256251,-64.28178709,-1.640499923
41.00929689,8.58542455,122.153383,-60.12309684,-1.968154958
42.01331472,8.399744249,129.5785972,-55.31947601,-2.238130595
43.03162193,8.18525807,134.5629291,-48.5143465,-2.449744393
44.03643799,7.97420499,137.1920395,-40.53055076,-2.60498574
45.00769043,7.781210669,136.9692265,-32.64683046,-2.717074541
46.02705503,7.586824983,134.8622727,-25.21900936,-2.808308809
47.04175329,7.38716411,131.4450008,-18.76970362,-2.883337514
48.02562833,7.169627355,127.1027911,-12.38711483,-2.94756554
48.99898338,6.91643586,123.0003972,-6.527142195,-3.005391143
49.99241471,6.612077208,119.0350484,-1.323219628,-3.058603364
51.03972244,6.246141253,115.4551018,3.602715623,-3.107336175
52.06802511,5.859845306,112.3290663,8.539770366,-3.14716324
53.06206465,5.485614179,109.1345234,13.28779373,-3.178443354
54.04690433,5.138367486,106.1369673,17.69111283,-3.203604936
54.98808146,4.845354173,103.1822475,21.23823099,-3.223696911
56.01568985,4.578238909,100.707123,25.23012886,-3.24297766
56.99859238,4.373011424,98.27482728,28.84396397,-3.260406247
58.00748754,4.203687175,95.73120256,32.1353338,-3.27869501
59.01666474,4.061622641,92.63947391,34.94856544,-3.29857298
60.03019333,3.931567581,90.36134886,37.92858948,-3.321048282
61.01031756,3.807170694,87.80060776,40.71958214,-3.345744285
62.02608275,3.674180269,85.00007241,43.27706545,-3.374672358
